Name,Latitude,Longitude,Scale,Anomaly,Year,Group
Wallis & Futuna,-13.2823,-176.1745,4.6,-0.2,1985-01-01,WF
Wallis & Futuna,-13.2823,-176.1745,3.8,-0.1,1986-01-01,WF
Wallis & Futuna,-13.2823,-176.1745,3.8,-0.1,1987-01-01,WF
Wallis & Futuna,-13.2823,-176.1745,3.0,0.0,1988-01-01,WF
Wallis & Futuna,-13.2823,-176.1745,3.8,-0.1,1989-01-01,WF
Wallis & Futuna,-13.2823,-176.1745,3.8,0.1,1990-01-01,WF
Wallis & Futuna,-13.2823,-176.1745,5.4,0.3,1991-01-01,WF
Wallis & Futuna,-13.2823,-176.1745,3.8,0.1,1992-01-01,WF
Wallis & Futuna,-13.2823,-176.1745,3.0,0.0,1993-01-01,WF
Wallis & Futuna,-13.2823,-176.1745,4.6,0.2,1994-01-01,WF
Wallis & Futuna,-13.2823,-176.1745,5.4,0.3,1995-01-01,WF
Wallis & Futuna,-13.2823,-176.1745,3.8,0.1,1996-01-01,WF
Wallis & Futuna,-13.2823,-176.1745,3.0,0.0,1997-01-01,WF
Wallis & Futuna,-13.2823,-176.1745,4.6,-0.2,1998-01-01,WF
Wallis & Futuna,-13.2823,-176.1745,3.8,0.1,1999-01-01,WF
Wallis & Futuna,-13.2823,-176.1745,5.4,0.3,2000-01-01,WF
Wallis & Futuna,-13.2823,-176.1745,5.4,0.3,2001-01-01,WF
Wallis & Futuna,-13.2823,-176.1745,6.2,0.4,2002-01-01,WF
Wallis & Futuna,-13.2823,-176.1745,7.0,0.5,2003-01-01,WF
Wallis & Futuna,-13.2823,-176.1745,7.0,0.5,2004-01-01,WF
Wallis & Futuna,-13.2823,-176.1745,7.0,0.5,2005-01-01,WF
Wallis & Futuna,-13.2823,-176.1745,6.2,0.4,2006-01-01,WF
Wallis & Futuna,-13.2823,-176.1745,7.0,0.5,2007-01-01,WF
Wallis & Futuna,-13.2823,-176.1745,4.6,0.2,2008-01-01,WF
Wallis & Futuna,-13.2823,-176.1745,6.2,0.4,2009-01-01,WF
Wallis & Futuna,-13.2823,-176.1745,6.2,0.4,2010-01-01,WF
Wallis & Futuna,-13.2823,-176.1745,4.6,0.2,2011-01-01,WF
Wallis & Futuna,-13.2823,-176.1745,6.2,0.4,2012-01-01,WF
