Year,Regional land (ST_ANOM),Regional ocean (SST_ANOM)
1850,-0.1,-0.138
1851,-0.155,-0.133
1852,-0.068,-0.052
1853,0.014,0.024
1854,-0.077,-0.095
1855,-0.309,-0.319
1856,-0.327,-0.343
1857,-0.259,-0.257
1858,-0.286,-0.295
1859,0.059,0.095
1860,-0.241,-0.238
1861,-0.527,-0.524
1862,-0.368,-0.367
1863,-0.236,-0.224
1864,-0.123,-0.1
1865,-0.141,-0.114
1866,-0.136,-0.119
1867,-0.177,-0.167
1868,-0.177,-0.171
1869,-0.055,-0.014
1870,-0.186,-0.171
1871,-0.1,-0.081
1872,-0.109,-0.057
1873,-0.273,-0.229
1874,-0.118,-0.086
1875,-0.214,-0.167
1876,-0.177,-0.124
1877,-0.227,-0.186
1878,-0.1,-0.052
1879,-0.227,-0.148
1880,-0.282,-0.271
1881,-0.023,0.014
1882,0.023,0.067
1883,-0.386,-0.39
1884,-0.514,-0.505
1885,-0.641,-0.648
1886,-0.505,-0.505
1887,-0.355,-0.343
1888,-0.305,-0.3
1889,-0.209,-0.176
1890,-0.364,-0.314
1891,-0.223,-0.171
1892,-0.186,-0.162
1893,-0.282,-0.257
1894,-0.282,-0.267
1895,-0.209,-0.195
1896,-0.245,-0.238
1897,-0.073,-0.071
1898,-0.241,-0.233
1899,-0.245,-0.257
1900,-0.041,-0.057
1901,-0.1,-0.081
1902,-0.495,-0.529
1903,-0.427,-0.471
1904,-0.632,-0.643
1905,-0.577,-0.595
1906,-0.414,-0.414
1907,-0.395,-0.414
1908,-0.486,-0.5
1909,-0.632,-0.629
1910,-0.641,-0.6
1911,-0.632,-0.638
1912,-0.518,-0.514
1913,-0.627,-0.61
1914,-0.505,-0.49
1915,-0.341,-0.319
1916,-0.436,-0.414
1917,-0.868,-0.829
1918,-0.591,-0.59
1919,-0.8,-0.838
1920,-0.514,-0.533
1921,-0.441,-0.419
1922,-0.3,-0.271
1923,-0.473,-0.448
1924,-0.309,-0.286
1925,-0.45,-0.424
1926,-0.359,-0.367
1927,-0.377,-0.371
1928,-0.377,-0.4
1929,-0.386,-0.39
1930,-0.455,-0.476
1931,-0.345,-0.348
1932,-0.373,-0.395
1933,-0.509,-0.533
1934,-0.505,-0.529
1935,-0.395,-0.405
1936,-0.377,-0.386
1937,-0.359,-0.367
1938,-0.405,-0.395
1939,-0.455,-0.481
1940,-0.245,-0.276
1941,-0.114,-0.119
1942,-0.123,-0.124
1943,0.027,0.071
1944,0.118,0.138
1945,0.055,0.071
1946,0.0,0.01
1947,-0.077,-0.095
1948,-0.3,-0.31
1949,-0.341,-0.352
1950,-0.323,-0.3
1951,-0.186,-0.171
1952,-0.105,-0.09
1953,-0.095,-0.081
1954,-0.255,-0.238
1955,-0.409,-0.395
1956,-0.277,-0.267
1957,-0.245,-0.252
1958,-0.164,-0.171
1959,-0.173,-0.181
1960,-0.155,-0.152
1961,-0.177,-0.167
1962,-0.191,-0.181
1963,-0.168,-0.133
1964,-0.245,-0.224
1965,-0.423,-0.419
1966,-0.191,-0.2
1967,-0.273,-0.252
1968,-0.15,-0.124
1969,0.059,0.067
1970,-0.018,-0.014
1971,-0.245,-0.224
1972,-0.245,-0.252
1973,-0.005,0.014
1974,-0.241,-0.2
1975,-0.314,-0.295
1976,-0.295,-0.276
1977,-0.155,-0.157
1978,-0.123,-0.133
1979,-0.095,-0.09
1980,0.014,-0.005
1981,-0.05,-0.043
1982,-0.064,-0.086
1983,-0.209,-0.214
1984,-0.014,-0.029
1985,-0.114,-0.129
1986,-0.068,-0.081
1987,-0.045,-0.086
1988,0.159,0.186
1989,-0.041,-0.029
1990,0.095,0.081
1991,0.114,0.1
1992,-0.014,-0.043
1993,-0.155,-0.176
1994,0.041,0.029
1995,0.255,0.243
1996,0.182,0.19
1997,0.005,-0.0
1998,0.055,0.057
1999,0.1,0.105
2000,0.15,0.167
2001,0.286,0.281
2002,0.382,0.367
2003,0.395,0.414
2004,0.35,0.39
2005,0.4,0.4
2006,0.323,0.319
2007,0.373,0.395
2008,0.127,0.181
2009,0.35,0.371
2010,0.355,0.357
2011,0.168,0.21
2012,0.277,0.29
2013,0.405,0.419
2014,0.464,0.471
2015,0.327,0.3
2016,0.586,0.59
2017,0.609,0.595
2018,0.532,0.524
2019,0.559,0.571
2020,0.595,0.61
2021,0.45,0.476
2022,0.455,0.476
2023,0.582,0.571
2024,0.723,0.733
2025,0.627,0.638
