iso,iso3,name,transects,good,median_rate,p10_rate,p25_rate,p75_rate,p90_rate,retreating,accreting,pct_retreating,pct_accreting,nsm_published,pct_nsm_published,median_nsm
AS,ASM,American Samoa,6751,2315,-0.004,-0.5602,-0.274,0.246,0.5992,223,157,9.63,6.78,361,15.59,-0.7
CK,COK,Cook Islands,15107,9346,-0.0825,-0.695,-0.349,0.146,0.396,1611,838,17.24,8.97,4563,48.82,-2.11
FJ,FJI,Fiji,162162,121173,0.006,-0.554,-0.227,0.259,0.69,13475,16053,11.12,13.25,32175,26.55,-0.26
FM,FSM,Micronesia,39384,20411,0.215,-0.335,-0.05,0.569,1.042,922,5030,4.52,24.64,9276,45.45,3.79
GU,GUM,Guam,6598,446,0.2205,-0.351,-0.037,0.6875,20.8825,6,100,1.35,22.42,303,67.94,6.4
KI,KIR,Kiribati,75029,30670,-0.157,-0.791,-0.45,0.14,0.498,7279,2516,23.73,8.2,11018,35.92,-4.17
MH,MHL,Marshall Islands,73994,27290,0.118,-0.4801,-0.162,0.418,0.838,2290,4502,8.39,16.5,13620,49.91,-0.3
MP,MNP,Northern Mariana Islands,12096,6315,0.224,-0.097,0.0465,0.462,0.9196,51,1581,0.81,25.04,5340,84.56,3.41
NC,NCL,New Caledonia,117589,99561,0.01,-0.28,-0.13,0.174,0.415,6600,11650,6.63,11.7,28841,28.97,0.51
NU,NIU,Niue,2226,1141,0.144,-0.427,-0.163,0.55,0.835,104,275,9.11,24.1,0,0.0,
NR,NRU,Nauru,599,522,-0.1165,-0.3689,-0.25,0.0622,0.2799,16,25,3.07,4.79,10,1.92,-9.2
PN,PCN,Pitcairn Islands,1830,822,0.451,-0.9298,0.0115,0.9877,1.8609,49,327,5.96,39.78,101,12.29,29.42
PW,PLW,Palau,24968,15954,0.135,-0.1677,-0.009,0.31,0.589,253,2389,1.59,14.97,9940,62.3,2.84
PG,PNG,Papua New Guinea,728386,580542,-0.005,-1.338,-0.318,0.231,0.728,119772,89660,20.63,15.44,453042,78.04,0.05
PF,PYF,French Polynesia,271757,158990,-0.146,-0.75,-0.392,0.057,0.3,34710,7792,21.83,4.9,91798,57.74,-1.21
SB,SLB,Solomon Islands,350257,226883,0.047,-0.389,-0.149,0.244,0.494,21245,28593,9.36,12.6,107911,47.56,2.66
TK,TKL,Tokelau,5087,1786,0.159,-0.3375,-0.063,0.4128,0.911,62,359,3.47,20.1,1026,57.45,1.07
TO,TON,Tonga,29745,5986,0.136,-0.445,-0.161,0.5518,1.1745,608,1336,10.16,22.32,2961,49.47,6.14
TV,TUV,Tuvalu,8246,4384,0.1985,-0.438,-0.1103,0.6065,1.1875,256,943,5.84,21.51,3220,73.45,3.34
VU,VUT,Vanuatu,104236,24053,-0.013,-0.448,-0.222,0.217,0.492,2548,2132,10.59,8.86,21760,90.47,-0.49
WF,WLF,Wallis and Futuna,4456,737,0.11,-0.2904,-0.051,0.353,0.6602,18,65,2.44,8.82,589,79.92,2.05
WS,WSM,Samoa,16112,9501,0.101,-0.4,-0.12,0.31,0.607,969,1852,10.2,19.49,2446,25.74,5.01
